company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO-14,13 years of audited listed financial history supports reliable fundamental trend analysis,65.0
ABB,con,CON-13,No threshold-based red flags detected this cycle; valuation stretch and macro cyclicality remain residual risks to monitor,62.0
ADANIENSOL,pro,PRO-14,12 years of audited listed financial history supports reliable fundamental trend analysis,65.0
ADANIENSOL,con,CON-13,No threshold-based red flags detected this cycle; valuation stretch and macro cyclicality remain residual risks to monitor,62.0
ADANIENT,pro,PRO-14,13 years of audited listed financial history supports reliable fundamental trend analysis,65.0
ADANIENT,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78.0
ADANIGREEN,pro,PRO-14,9 years of audited listed financial history supports reliable fundamental trend analysis,65.0
ADANIGREEN,con,CON-01,Debt-to-equity ratio of 6.38 is elevated for a non-financial company and warrants monitoring,99.0
ADANIPORTS,pro,PRO-14,13 years of audited listed financial history supports reliable fundamental trend analysis,65.0
ADANIPORTS,con,CON-13,No threshold-based red flags detected this cycle; valuation stretch and macro cyclicality remain residual risks to monitor,62.0
ADANIPOWER,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,95.0
ADANIPOWER,con,CON-13,No threshold-based red flags detected this cycle; valuation stretch and macro cyclicality remain residual risks to monitor,62.0
AMBUJACEM,pro,PRO-14,13 years of audited listed financial history supports reliable fundamental trend analysis,65.0
AMBUJACEM,con,CON-13,No threshold-based red flags detected this cycle; valuation stretch and macro cyclicality remain residual risks to monitor,62.0
APOLLOHOSP,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,95.0
APOLLOHOSP,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78.0
ASIANPAINT,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,95.0
ASIANPAINT,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78.0
ATGL,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,75.0
ATGL,con,CON-13,No threshold-based red flags detected this cycle; valuation stretch and macro cyclicality remain residual risks to monitor,62.0
AXISBANK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,75.5
AXISBANK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,99.0
AXISBANK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,99.0
AXISBANK,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,99.0
AXISBANK,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,89.9
AXISBANK,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,99.0
BAJAJ-AUTO,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,95.0
BAJAJ-AUTO,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78.0
BAJAJFINSV,pro,PRO-14,13 years of audited listed financial history supports reliable fundamental trend analysis,65.0
BAJAJFINSV,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,74.0
BAJAJHLDNG,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,75.0
BAJAJHLDNG,con,CON-13,No threshold-based red flags detected this cycle; valuation stretch and macro cyclicality remain residual risks to monitor,62.0
BAJFINANCE,pro,PRO-14,11 years of audited listed financial history supports reliable fundamental trend analysis,65.0
BAJFINANCE,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,95.0
BANKBARODA,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,66.6
BANKBARODA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80.0
BANKBARODA,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,99.0
BANKBARODA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,99.0
BANKBARODA,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0
BANKBARODA,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,99.0
BANKBARODA,con,CON-03,Operating margins declining for 3 consecutive years suggests pricing or cost pressure,78.0
